strategy_id,entry_time,exit_time,direction,entry_price,exit_price,size,pnl,return_pct,exit_reason
A,2026-03-31T12:00:00+00:00,2026-03-31T16:00:00+00:00,long,1.150748,1.154335,100000,311.67,0.3117,session_filter
A,2026-04-02T10:00:00+00:00,2026-04-02T11:00:00+00:00,long,1.151543,1.152738,100000,103.74,0.1037,stop_loss
A,2026-04-02T14:00:00+00:00,2026-04-02T16:00:00+00:00,long,1.155535,1.154601,100000,-80.82,-0.0808,session_filter
A,2026-04-03T12:00:00+00:00,2026-04-03T13:00:00+00:00,long,1.153403,1.154335,100000,80.8,0.0808,stop_loss
A,2026-04-03T14:00:00+00:00,2026-04-03T15:00:00+00:00,long,1.152472,1.154335,100000,161.61,0.1616,stop_loss
A,2026-04-06T10:00:00+00:00,2026-04-06T11:00:00+00:00,long,1.155135,1.155802,100000,57.79,0.0578,stop_loss
A,2026-04-06T14:00:00+00:00,2026-04-06T15:00:00+00:00,long,1.154601,1.155802,100000,104.02,0.104,stop_loss
A,2026-04-09T11:00:00+00:00,2026-04-09T16:00:00+00:00,long,1.16918,1.171372,100000,187.42,0.1874,session_filter
A,2026-04-10T09:00:00+00:00,2026-04-10T16:00:00+00:00,long,1.171234,1.17247,100000,105.52,0.1055,session_filter
A,2026-04-13T13:00:00+00:00,2026-04-13T16:00:00+00:00,long,1.170686,1.172883,100000,187.67,0.1877,session_filter
A,2026-04-14T10:00:00+00:00,2026-04-14T16:00:00+00:00,long,1.18008,1.179802,100000,-23.59,-0.0236,session_filter
A,2026-04-16T13:00:00+00:00,2026-04-16T14:00:00+00:00,long,1.177302,1.178134,100000,70.69,0.0707,stop_loss
A,2026-04-17T12:00:00+00:00,2026-04-17T16:00:00+00:00,long,1.183712,1.18022,100000,-295.05,-0.2951,session_filter
A,2026-04-20T09:00:00+00:00,2026-04-20T10:00:00+00:00,long,1.176886,1.178411,100000,129.62,0.1296,stop_loss
A,2026-04-20T11:00:00+00:00,2026-04-20T12:00:00+00:00,long,1.177163,1.178411,100000,106.06,0.1061,stop_loss
A,2026-04-20T13:00:00+00:00,2026-04-20T14:00:00+00:00,long,1.177856,1.178411,100000,47.13,0.0471,stop_loss
A,2026-04-21T15:00:00+00:00,2026-04-21T16:00:00+00:00,long,1.175503,1.174536,100000,-82.22,-0.0822,session_filter
A,2026-04-23T10:00:00+00:00,2026-04-23T11:00:00+00:00,long,1.168634,1.170001,100000,117.0,0.117,stop_loss
A,2026-04-23T14:00:00+00:00,2026-04-23T16:00:00+00:00,long,1.171372,1.170686,100000,-58.54,-0.0585,session_filter
A,2026-04-24T10:00:00+00:00,2026-04-24T16:00:00+00:00,long,1.170686,1.172333,100000,140.69,0.1407,session_filter
A,2026-04-27T15:00:00+00:00,2026-04-27T16:00:00+00:00,long,1.173434,1.173158,100000,-23.47,-0.0235,session_filter
A,2026-04-28T11:00:00+00:00,2026-04-28T12:00:00+00:00,long,1.168634,1.170001,100000,117.0,0.117,stop_loss
A,2026-04-28T15:00:00+00:00,2026-04-28T16:00:00+00:00,long,1.171646,1.171372,100000,-23.42,-0.0234,session_filter
A,2026-04-30T10:00:00+00:00,2026-04-30T16:00:00+00:00,long,1.171646,1.17302,100000,117.3,0.1173,session_filter
A,2026-05-01T12:00:00+00:00,2026-05-01T16:00:00+00:00,long,1.176332,1.174398,100000,-164.41,-0.1644,session_filter
A,2026-05-04T10:00:00+00:00,2026-05-04T11:00:00+00:00,long,1.170823,1.171509,100000,58.58,0.0586,stop_loss
A,2026-05-04T15:00:00+00:00,2026-05-04T16:00:00+00:00,long,1.170138,1.168634,100000,-128.55,-0.1285,session_filter
A,2026-05-05T14:00:00+00:00,2026-05-05T16:00:00+00:00,long,1.170823,1.170275,100000,-46.82,-0.0468,session_filter
A,2026-05-08T09:00:00+00:00,2026-05-08T16:00:00+00:00,long,1.177302,1.177579,100000,23.55,0.0236,session_filter
A,2026-05-12T13:00:00+00:00,2026-05-12T14:00:00+00:00,long,1.173434,1.174398,100000,82.21,0.0822,stop_loss
A,2026-05-12T15:00:00+00:00,2026-05-12T16:00:00+00:00,long,1.173709,1.173158,100000,-46.92,-0.0469,session_filter
A,2026-05-14T12:00:00+00:00,2026-05-14T13:00:00+00:00,long,1.170138,1.170823,100000,58.55,0.0585,stop_loss
A,2026-05-14T14:00:00+00:00,2026-05-14T15:00:00+00:00,long,1.168361,1.170823,100000,210.75,0.2107,stop_loss
